date,open,high,low,close,adjc,volume
2012-07-25,23060,23440,22780,23160,18954,13609850
2012-07-26,23380,23480,23200,23440,19183,13654750
2012-07-27,23900,24660,23820,24660,20182,26686200
2012-07-30,25200,25560,25020,25500,20869,19113350
2012-07-31,25600,26680,25500,26180,21426,33735650
2012-08-01,25840,26300,25660,26000,21278,19039100
2012-08-02,26000,26080,25220,25260,20673,15951250
2012-08-03,24800,25340,24760,24860,20345,15582650
2012-08-06,25700,26100,25640,25960,21246,12289150
2012-08-07,26060,26080,25680,25880,21180,10258400
2012-08-08,26120,26560,26020,26400,21606,19459150
2012-08-09,26420,26960,26360,26800,21933,30612650
2012-08-10,26700,26960,26600,26960,22064,14733250
2012-08-13,26840,26940,26460,26500,21688,9891050
2012-08-14,26520,27000,26520,26900,22015,14396850
2012-08-16,27080,27100,26760,26900,22015,14824150
2012-08-17,26880,26900,25720,25900,21196,27642800
2012-08-20,25400,25660,25100,25660,21000,19944800
2012-08-21,25840,26040,25640,25640,20984,15315200
2012-08-22,25380,25620,25140,25280,20689,16031200
2012-08-23,25220,25740,24980,25740,21066,13857750
2012-08-24,25400,25740,25280,25500,20869,14077200
2012-08-27,23780,24060,23460,23600,19314,63803450
2012-08-28,23720,24180,23600,23900,19560,27767400
2012-08-29,24180,24700,24140,24600,20133,23415550
2012-08-30,24560,24580,24040,24300,19887,16211400
2012-08-31,24220,24680,24140,24660,20182,20301300
2012-09-03,24400,24700,24020,24360,19936,13903800
2012-09-04,24380,24560,24200,24360,19936,9916550
2012-09-05,24100,24240,23780,23780,19461,17381950
2012-09-06,24000,24060,23860,23920,19576,12373750
2012-09-07,24600,25020,24400,25000,20460,25512400
2012-09-10,25200,25280,25000,25000,20460,15883700
2012-09-11,24800,25300,24640,25120,20558,9890800
2012-09-12,25360,25900,25180,25880,21180,18473250
2012-09-13,25980,26100,25620,26020,21295,19489950
2012-09-14,26600,26780,26540,26720,21868,24872500
2012-09-17,26720,26720,26240,26300,21524,14896000
2012-09-18,26280,26720,26160,26300,21524,11232300
2012-09-19,26120,26460,25960,26280,21507,12114550
2012-09-20,25860,26100,25680,25740,21066,14199800
2012-09-21,26000,26140,25900,26040,21311,14913400
2012-09-24,26000,26560,25840,26540,21720,13195450
2012-09-25,26200,26680,26200,26540,21720,11348000
2012-09-26,26260,26500,26120,26500,21688,12054550
2012-09-27,26540,26840,26460,26760,21900,14541600
2012-09-28,27180,27200,26780,26920,22031,17906350
2012-10-02,27080,27420,27040,27380,22408,13376250
2012-10-04,27020,27460,26780,27340,22375,19127200
2012-10-05,27740,27800,27040,27400,22424,17828800
2012-10-08,27500,27580,27200,27460,22473,12037600
2012-10-09,27260,27620,27260,27440,22457,8788650
2012-10-10,27060,27200,26500,26500,21688,12976700
2012-10-11,26200,26400,25740,26080,21344,23779850
2012-10-12,26100,26240,25760,25920,21213,14977250
2012-10-15,25920,26240,25740,26000,21278,10334000
2012-10-16,26520,26620,26300,26600,21769,10671300
2012-10-17,26840,26920,26320,26720,21868,8984550
2012-10-18,26720,26820,26560,26740,21884,10498450
2012-10-19,26460,26500,25980,26040,21311,13969950
2012-10-22,25540,26340,25520,26300,21524,11741150
2012-10-23,26380,26440,26040,26260,21491,9253550
2012-10-24,25940,26180,25780,26000,21278,13454500
2012-10-25,25920,26440,25820,26440,21638,11881100
2012-10-26,26120,26240,25740,25740,21066,13793850
